building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage
Hilltop House,"1475 Euclid St NW, Washington, DC","Hilltop House, a hidden jewel of the Columbia Heights neighborhood, is an apartment community with studio and one-bedroom apartments for rent. With large windows, and spacious layouts, the apartments have a cheerful, open, and bright atmosphere.",4 Units Available,Studio,"$1,425",348 sqft
Hilltop House,"1475 Euclid St NW, Washington, DC","Hilltop House, a hidden jewel of the Columbia Heights neighborhood, is an apartment community with studio and one-bedroom apartments for rent. With large windows, and spacious layouts, the apartments have a cheerful, open, and bright atmosphere.",4 Units Available,1 Bedroom,Ask,NA
Hillside Terrace,"1812 23rd St SE, Washington, DC","Located in Randle Highlands, a quiet neighborhood of Southeast DC, Hillside Terrace is an apartment community with studio, one, and two-bedroom apartments for rent.",1 Unit Available,Studio,Ask,NA
Hillside Terrace,"1812 23rd St SE, Washington, DC","Located in Randle Highlands, a quiet neighborhood of Southeast DC, Hillside Terrace is an apartment community with studio, one, and two-bedroom apartments for rent.",1 Unit Available,1 Bedroom,"$1,195",650 sqft
Hillside Terrace,"1812 23rd St SE, Washington, DC","Located in Randle Highlands, a quiet neighborhood of Southeast DC, Hillside Terrace is an apartment community with studio, one, and two-bedroom apartments for rent.",1 Unit Available,2 Bedrooms,Ask,NA
Parkside,"1702 Summit Pl NW, Washington, DC",Step into Parkside and here is what you will find: well-designed studio and one-bedroom apartments for rent that use every inch of space thoughtfully; hardwood floors that shine when natural light pours through the windows and bounce off of them; ,3 Units Available,Studio,Ask,NA
Parkside,"1702 Summit Pl NW, Washington, DC",Step into Parkside and here is what you will find: well-designed studio and one-bedroom apartments for rent that use every inch of space thoughtfully; hardwood floors that shine when natural light pours through the windows and bounce off of them; ,3 Units Available,1 Bedroom,"$1,650",500 sqft
3213 Wisconsin,"3213 Wisconsin Avenue, Washington, DC","You will fall in love with both the apartments and the neighborhood at 3213 Wisconsin. This community of one-bedroom apartments is located in Cleveland Park, giving residents easy access to all of DC's finest attractions.",2 Units Available,1 Bedroom,"$1,395",440 sqft
Pleasant Hills Village,"100 Fort Drive Northeast, Washington, DC","Find beauty in the unexpected. Pleasant Hills, located just off of North Capitol Street, offers spacious and affordable apartment homes in the Brookland neighborhood.",2 Units Available,1 Bedroom,"$1,246",600 sqft
Meridian Park,"2445 15th Street Northwest, Washington, DC","For spacious and affordable apartments in Northwest DC, look no further than Meridian Park. The Meridian Park community has studio, one, and two-bedroom apartment buildings for rent in the Columbia Heights neighborhood.",1 Unit Available,Studio,"$1,440",365 sqft
Meridian Park,"2445 15th Street Northwest, Washington, DC","For spacious and affordable apartments in Northwest DC, look no further than Meridian Park. The Meridian Park community has studio, one, and two-bedroom apartment buildings for rent in the Columbia Heights neighborhood.",1 Unit Available,1 Bedroom,Ask,NA
Meridian Park,"2445 15th Street Northwest, Washington, DC","For spacious and affordable apartments in Northwest DC, look no further than Meridian Park. The Meridian Park community has studio, one, and two-bedroom apartment buildings for rent in the Columbia Heights neighborhood.",1 Unit Available,2 Bedrooms,Ask,NA
Jetu,"2100 Maryland Ave NE, Washington, DC","Discover our beautifully landscaped community located in the heart of Northeast, near Langston Golf Course and National Arboretum. Jetu Apartments offers affordable one and two-bedroom apartment homes for rent in the Langston neighborhood.",4 Units Available,1 Bedroom,"$1,024",550 sqft
Jetu,"2100 Maryland Ave NE, Washington, DC","Discover our beautifully landscaped community located in the heart of Northeast, near Langston Golf Course and National Arboretum. Jetu Apartments offers affordable one and two-bedroom apartment homes for rent in the Langston neighborhood.",4 Units Available,2 Bedrooms,Ask,NA
Wakefield Hall,"2101 New Hampshire Ave NW, Washington, DC","Located in DC's U Street Corridor, Wakefield Hall is a charming apartment community with studio and one-bedroom apartments for rent. Wakefield Hall's decorative facade gives way to just as beautiful apartments.",4 Units Available,Studio,"$1,565",497 sqft
Wakefield Hall,"2101 New Hampshire Ave NW, Washington, DC","Located in DC's U Street Corridor, Wakefield Hall is a charming apartment community with studio and one-bedroom apartments for rent. Wakefield Hall's decorative facade gives way to just as beautiful apartments.",4 Units Available,1 Bedroom,"$1,590",573 sqft
The Colonnade,"2 Forrester St SE, Washington, DC",The Colonnade makes apartment living easy and enjoyable. The Colonnade offers affordable one-bedroom apartments for rent in the Congress Heights neighborhood of Southeast DC.,1 Unit Available,1 Bedroom,"$1,085",577 sqft
Clarence House,"4530 Connecticut Ave NW, Washington, DC","Looking for a studio, one or two-bedroom apartment? Want to live in the Van Ness neighborhood? Start your apartment search at Clarence House! Living at Clarence House means coming home to a spacious apartment with beautiful hardwood floors, high ",2 Units Available,Studio,"$1,450",500 sqft
Clarence House,"4530 Connecticut Ave NW, Washington, DC","Looking for a studio, one or two-bedroom apartment? Want to live in the Van Ness neighborhood? Start your apartment search at Clarence House! Living at Clarence House means coming home to a spacious apartment with beautiful hardwood floors, high ",2 Units Available,1 Bedroom,"$1,725",793 sqft
Clarence House,"4530 Connecticut Ave NW, Washington, DC","Looking for a studio, one or two-bedroom apartment? Want to live in the Van Ness neighborhood? Start your apartment search at Clarence House! Living at Clarence House means coming home to a spacious apartment with beautiful hardwood floors, high ",2 Units Available,2 Bedrooms,Ask,NA
The Baystate,"1701 Massachusetts Ave, Washington, DC","If you are looking for a home with classic features in a charming neighborhood, look no further than The Baystate. This DuPont Circle apartment building offers beautiful studio and one-bedroom apartments for rent in a variety of floor plans.",13 Units Available,Studio,"$1,495",415 sqft
The Baystate,"1701 Massachusetts Ave, Washington, DC","If you are looking for a home with classic features in a charming neighborhood, look no further than The Baystate. This DuPont Circle apartment building offers beautiful studio and one-bedroom apartments for rent in a variety of floor plans.",13 Units Available,1 Bedroom,Ask,NA
Hampton Courts,"2013 New Hampshire Ave NW, Washington, DC","Hampton Courts, constructed in 1926, is an elegant apartment building located in DC’s U Street Corridor.",7 Units Available,Studio,"$1,220",313 sqft
Hampton Courts,"2013 New Hampshire Ave NW, Washington, DC","Hampton Courts, constructed in 1926, is an elegant apartment building located in DC’s U Street Corridor.",7 Units Available,1 Bedroom,"$1,765",542 sqft
Hampton Courts,"2013 New Hampshire Ave NW, Washington, DC","Hampton Courts, constructed in 1926, is an elegant apartment building located in DC’s U Street Corridor.",7 Units Available,2 Bedrooms,"$2,495",755 sqft
The Frontenac,"4550 Connecticut Ave. NW, Washington, DC","The Frontenac is an apartment building nestled in the heart of upper-Northwest DC. At The Frontenac, you will find studio, one, and two-bedroom apartments for rent.",3 Units Available,Studio,"$1,475",538 sqft
The Frontenac,"4550 Connecticut Ave. NW, Washington, DC","The Frontenac is an apartment building nestled in the heart of upper-Northwest DC. At The Frontenac, you will find studio, one, and two-bedroom apartments for rent.",3 Units Available,1 Bedroom,Ask,NA
The Frontenac,"4550 Connecticut Ave. NW, Washington, DC","The Frontenac is an apartment building nestled in the heart of upper-Northwest DC. At The Frontenac, you will find studio, one, and two-bedroom apartments for rent.",3 Units Available,2 Bedrooms,Ask,NA
Sherry Hall,"2702 Wisconsin Ave NW, Washington, DC","With a prime location in the Glover Park Neighborhood, Sherry Hall is an apartment community with studio, one, and two-bedroom apartments for rent.",1 Unit Available,Studio,Ask,NA
Sherry Hall,"2702 Wisconsin Ave NW, Washington, DC","With a prime location in the Glover Park Neighborhood, Sherry Hall is an apartment community with studio, one, and two-bedroom apartments for rent.",1 Unit Available,1 Bedroom,"$1,715",582 sqft
2701 Connecticut Ave,"2701 Connecticut Ave NW, Washington, DC","Living in Woodley Park is great, living in 2701 Connecticut is even better. These studio, one, and two-bedroom apartments are in a convenient location and have a classic and charming feel to them.",6 Units Available,1 Bedroom,"$1,850",697 sqft
2701 Connecticut Ave,"2701 Connecticut Ave NW, Washington, DC","Living in Woodley Park is great, living in 2701 Connecticut is even better. These studio, one, and two-bedroom apartments are in a convenient location and have a classic and charming feel to them.",6 Units Available,2 Bedrooms,"$2,990",1263 sqft
2800 Woodley Road,"2800 Woodley Rd NW, Washington, DC","For comfort, charm, and convenience, look no further than 2800 Woodley. At 2800 Woodley, you will find spacious studio, one, and two-bedroom apartments for rent.",6 Units Available,Studio,Ask,NA
2800 Woodley Road,"2800 Woodley Rd NW, Washington, DC","For comfort, charm, and convenience, look no further than 2800 Woodley. At 2800 Woodley, you will find spacious studio, one, and two-bedroom apartments for rent.",6 Units Available,1 Bedroom,"$1,750",728 sqft
2800 Woodley Road,"2800 Woodley Rd NW, Washington, DC","For comfort, charm, and convenience, look no further than 2800 Woodley. At 2800 Woodley, you will find spacious studio, one, and two-bedroom apartments for rent.",6 Units Available,2 Bedrooms,Ask,NA
Eddystone,"1301 Vermont Ave NW, Washington, DC",Logan Circle and the 14th Street corridor are becoming the homes of some of DC's most exciting new restaurants. Live one block away from the excitement at the Eddystone apartments in Logan Circle.,14 Units Available,Studio,"$1,495",424 sqft
Eddystone,"1301 Vermont Ave NW, Washington, DC",Logan Circle and the 14th Street corridor are becoming the homes of some of DC's most exciting new restaurants. Live one block away from the excitement at the Eddystone apartments in Logan Circle.,14 Units Available,1 Bedroom,Ask,NA
Twin Oaks West,"3800 14th St NW, Washington, DC","Twin Oaks is a Columbia Heights apartment community that consists of two unique buildings with a variety of studio, one, two, and three-bedroom apartments for rent.",6 Units Available,Studio,"$1,325",375 sqft
Twin Oaks West,"3800 14th St NW, Washington, DC","Twin Oaks is a Columbia Heights apartment community that consists of two unique buildings with a variety of studio, one, two, and three-bedroom apartments for rent.",6 Units Available,1 Bedroom,"$1,735",690 sqft
